Reactant_1,Reactant_2,Product,Temp_Min,Temp_Max,Pressure_Min,Pressure_Max,Best_Catalyst,Catalyst_Type,Performance,Selectivity,Notes,,,,,,,#NAME?
Butane,Hydrogen Peroxide,Butanol,230,380,1,2,Nickel,Transition Metal,88,92,"Good performance, used in specific conditions.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,240,390,1,2,Palladium,Noble Metal,93,96,"Highly effective, excellent yield and selectivity, but expensive.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,250,400,1,2,Silver,Noble Metal,90,94,"High performance, but expensive.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,260,410,1,2,Cobalt,Transition Metal,86,91,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,270,420,1,2,Rhodium,Noble Metal,94,97,"Highly effective, excellent yield and selectivity, but very expensive.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,280,430,1,2,Chromium,Transition Metal,83,88,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,290,440,1,2,Tungsten,Transition Metal,81,86,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,300,450,1,2,Zirconium,Transition Metal,82,87,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,310,460,1,2,Titanium,Transition Metal,80,85,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,320,470,1,2,Lanthanum,Rare Earth Metal,79,84,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,330,480,1,2,Molybdenum,Transition Metal,85,90,"Good performance, used in specific conditions.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,340,490,1,2,Vanadium,Transition Metal,84,89,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,350,500,1,2,Aluminum Oxide,Solid Acid,75,82,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,360,510,1,2,Magnesium,Alkaline Earth Metal,74,81,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,370,520,1,2,Sodium,Alkali Metal,65,73,"Very low performance, rarely used.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,380,530,1,2,Potassium,Alkali Metal,68,76,"Low performance, used in specific conditions.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,390,540,1,2,Calcium,Alkaline Earth Metal,72,80,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,400,550,1,2,Zinc,Transition Metal,78,84,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,410,560,1,2,Bismuth,Metal,76,82,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,420,570,1,2,Tin,Metal,74,80,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,430,580,1,2,Lead,Metal,72,78,"Moderate performance, but toxic and less commonly used.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,440,590,1,2,Copper Oxide,Transition Metal Oxide,83,88,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,450,600,1,2,Palladium Oxide,Noble Metal Oxide,89,93,"High performance, but expensive.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,460,610,1,2,Iron Oxide,Transition Metal Oxide,80,85,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,470,620,1,2,Silver Oxide,Noble Metal Oxide,88,92,"Good performance, but expensive.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,480,630,1,2,Molybdenum Oxide,Transition Metal Oxide,85,90,"Good performance, used in specific conditions.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,490,640,1,2,Chromium Oxide,Transition Metal Oxide,82,87,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,500,650,1,2,Cobalt Oxide,Transition Metal Oxide,84,89,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,220,370,1.5,2.5,Manganese Oxide,Transition Metal Oxide,81,86,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,230,380,1,3,Zirconium Oxide,Transition Metal Oxide,83,88,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,240,390,1.5,3,Titanium Oxide,Transition Metal Oxide,80,85,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,250,400,1,2,Tungsten Oxide,Transition Metal Oxide,82,87,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,260,410,1.5,2.5,Lanthanum Oxide,Rare Earth Oxide,79,84,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,270,420,1,2,Strontium Oxide,Alkaline Earth Oxide,77,83,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,280,430,1.5,3,Barium Oxide,Alkaline Earth Oxide,76,82,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,290,440,1,3,Calcium Oxide,Alkaline Earth Oxide,75,81,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Hydrogen Peroxide,Butanol,300,450,1.5,3,Magnesium Oxide,Alkaline Earth Oxide,74,80,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,250,350,1,2,Silver,Noble Metal,90,94,"High performance, but expensive.",,,,,,,
Butane,Methanol,Butyl methyl ether,250,350,1,2,Platinum,Noble Metal,95,98,"Highly effective, excellent yield and selectivity, but very expensive.",,,,,,,
Butane,Methanol,Butyl methyl ether,260,360,1,2,Copper,Transition Metal,85,90,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,270,370,1,2,Nickel,Transition Metal,88,92,"Good performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,280,380,1,2,Iron,Transition Metal,82,87,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,290,390,1,2,Cobalt,Transition Metal,84,89,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,300,400,1,2,Zinc,Transition Metal,80,85,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,310,410,1,2,Molybdenum,Transition Metal,86,91,"Good performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,320,420,1,2,Tungsten,Transition Metal,83,88,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,330,430,1,2,Zirconium,Transition Metal,81,86,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,340,440,1,2,Vanadium,Transition Metal,79,84,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,350,450,1,2,Palladium,Noble Metal,93,96,"Highly effective, excellent yield and selectivity, but expensive.",,,,,,,
Butane,Methanol,Butyl methyl ether,360,460,1,2,Rhodium,Noble Metal,94,97,"Highly effective, excellent yield and selectivity, but very expensive.",,,,,,,
Butane,Methanol,Butyl methyl ether,370,470,1,2,Ruthenium,Noble Metal,92,95,"Highly effective, excellent yield and selectivity, but expensive.",,,,,,,
Butane,Methanol,Butyl methyl ether,380,480,1,2,Osmium,Noble Metal,91,94,"Highly effective, excellent yield and selectivity, but very expensive.",,,,,,,
Butane,Methanol,Butyl methyl ether,390,490,1,2,Iridium,Noble Metal,93,96,"Highly effective, excellent yield and selectivity, but very expensive.",,,,,,,
Butane,Methanol,Butyl methyl ether,400,500,1,2,Tantalum,Transition Metal,85,90,"Good performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,410,510,1,2,Bismuth,Metal,78,84,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,420,520,1,2,Tin,Metal,76,82,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,430,530,1,2,Lead,Metal,74,80,"Moderate performance, but toxic and less commonly used.",,,,,,,
Butane,Methanol,Butyl methyl ether,440,540,1,2,Calcium,Alkaline Earth Metal,72,78,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,450,550,1,2,Magnesium,Alkaline Earth Metal,75,81,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,460,560,1,2,Sodium,Alkali Metal,65,73,"Very low performance, rarely used.",,,,,,,
Butane,Methanol,Butyl methyl ether,470,570,1,2,Potassium,Alkali Metal,68,76,"Low performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,480,580,1,2,Lithium,Alkali Metal,70,78,"Low performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,490,590,1,2,Antimony,Metal,73,80,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,500,600,1,2,Arsenic,Metal,71,77,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,510,610,1,2,Tellurium,Metal,72,78,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,520,620,1,2,Silicon,Metal,74,80,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,530,630,1,2,Zinc Oxide,Transition Metal Oxide,83,88,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,270,370,2,4,Cobalt Oxide,Transition Metal Oxide,84,89,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,280,380,1,3,Molybdenum Oxide,Transition Metal Oxide,85,90,"Good performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,290,390,2,4,Iron Oxide,Transition Metal Oxide,82,87,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,300,400,1,3,Tungsten Oxide,Transition Metal Oxide,83,88,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,310,410,2,4,Tin Oxide,Transition Metal Oxide,80,85,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,320,420,1,3,Vanadium Oxide,Transition Metal Oxide,81,86,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,330,430,2,4,Chromium Oxide,Transition Metal Oxide,79,84,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,340,440,1,3,Zirconium Oxide,Transition Metal Oxide,82,87,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,350,450,2,4,Barium Oxide,Alkaline Earth Oxide,76,82,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,360,460,1,3,Lanthanum Oxide,Rare Earth Oxide,80,85,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,370,470,2,4,Gallium Oxide,Transition Metal Oxide,78,83,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,380,480,1,3,Strontium Oxide,Alkaline Earth Oxide,77,82,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,390,490,2,4,Magnesium Oxide,Alkaline Earth Oxide,75,81,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,400,500,1,3,Sodium-Alumina,Solid Acid,74,80,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,410,510,2,4,Yttrium Oxide,Rare Earth Oxide,79,84,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,420,520,1,3,Calcium Oxide,Alkaline Earth Oxide,73,79,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,430,530,2,4,Thorium Oxide,Rare Earth Oxide,76,81,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,440,540,1,3,Manganese Oxide,Transition Metal Oxide,78,83,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Methanol,Butyl methyl ether,450,550,2,4,Cadmium Oxide,Transition Metal Oxide,77,82,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,200,400,1,2,Platinum,Noble Metal,95,98,"Highly effective, excellent yield and selectivity, but very expensive.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,200,400,1,2,Copper,Transition Metal,85,90,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,200,400,1,2,Palladium,Noble Metal,93,96,"Highly effective, excellent yield and selectivity, but expensive.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,220,420,1,2,Nickel,Transition Metal,88,92,"Good performance, used in specific conditions.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,240,440,1,2,Iron,Transition Metal,82,87,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,250,450,1,2,Cobalt,Transition Metal,84,89,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,260,460,1,2,Aluminum,Metal,75,82,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,270,470,1,2,Zirconium,Transition Metal,83,88,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,280,480,1,2,Vanadium,Transition Metal,81,86,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,290,490,1,2,Manganese,Transition Metal,80,85,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,300,500,1,2,Chromium,Transition Metal,78,84,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,310,510,1,2,Silver,Noble Metal,90,94,"High performance, but expensive.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,320,520,1,2,Zinc,Transition Metal,79,84,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,330,530,1,2,Rhodium,Noble Metal,94,97,"Highly effective, excellent yield and selectivity, but very expensive.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,340,540,1,2,Ruthenium,Noble Metal,92,95,"Highly effective, excellent yield and selectivity, but expensive.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,350,550,1,2,Gold,Noble Metal,89,93,"High performance, but very expensive.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,360,560,1,2,Molybdenum,Transition Metal,86,91,"Good performance, used in specific conditions.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,370,570,1,2,Tungsten,Transition Metal,84,89,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,380,580,1,2,Titanium,Transition Metal,82,87,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,390,590,1,2,Indium,Metal,77,83,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,400,600,1,2,Tin,Metal,76,82,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,410,610,1,2,Lead,Metal,74,80,"Moderate performance, but toxic and less commonly used.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,420,620,1,2,Bismuth,Metal,75,81,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,430,630,1,2,Copper Oxide,Transition Metal Oxide,83,88,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,440,640,1,2,Zinc Oxide,Transition Metal Oxide,81,86,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,450,650,1,2,Nickel Oxide,Transition Metal Oxide,80,85,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,460,660,1,2,Iron Oxide,Transition Metal Oxide,82,87,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,470,670,1,2,Cobalt Oxide,Transition Metal Oxide,84,89,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,480,680,1,2,Platinum Oxide,Noble Metal Oxide,90,94,"High performance, but very expensive.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,490,690,1,2,Palladium Oxide,Noble Metal Oxide,89,93,"High performance, but expensive.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,500,700,1,2,Rhodium Oxide,Noble Metal Oxide,91,95,"High performance, but very expensive.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,510,710,1,2,Ruthenium Oxide,Noble Metal Oxide,88,92,"Good performance, but expensive.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,520,720,1,2,Osmium Oxide,Noble Metal Oxide,87,91,"Good performance, but very expensive.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,530,730,1,2,Iridium Oxide,Noble Metal Oxide,92,95,"High performance, but very expensive.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,200,400,1,2,Mixed Metal Oxide,Mixed Metal Oxide,85,90,"Good performance, used in specific conditions.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,200,400,1,2,Niobium Oxide,Transition Metal Oxide,83,88,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,200,400,1,2,Tantalum Oxide,Transition Metal Oxide,84,89,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,200,400,1,2,Manganese Oxide,Transition Metal Oxide,80,85,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitric Acid,Butyl nitrate,200,400,1,2,Cerium Oxide,Rare Earth Oxide,82,87,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Titanium,Metal Catalyst,50,60,Low activity for nitrogenation reactions.,,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Zirconium,Metal Catalyst,55,65,"Moderate performance, but not commonly used.",,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Vanadium,Metal Catalyst,60,70,Effective for some nitrogenation reactions.,,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Chromium,Metal Catalyst,65,75,"Moderate performance, but prone to deactivation.",,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Molybdenum,Metal Catalyst,70,80,Good performance for nitrogenation reactions.,,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Tungsten,Metal Catalyst,75,85,High performance but expensive.,,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Nickel,Metal Catalyst,80,90,Highly effective for dehydrogenation and nitrogenation reactions.,,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Cobalt,Metal Catalyst,78,88,"Good performance, but less selective than nickel.",,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Iron,Metal Catalyst,70,82,"Moderate performance, cost-effective.",,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Copper,Metal Catalyst,65,78,Lower yield but cost-effective.,,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Platinum,Metal Catalyst,85,95,Highly effective but expensive.,,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Palladium,Metal Catalyst,88,93,"Excellent performance, but costly.",,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Gold,Metal Catalyst,75,85,"Moderate performance, stable under reaction conditions.",,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Silver,Metal Catalyst,70,80,Lower yield but cost-effective.,,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Rhodium,Metal Catalyst,82,90,High selectivity but expensive.,,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Iridium,Metal Catalyst,80,88,Expensive but highly selective.,,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Osmium,Metal Catalyst,75,85,"Moderate performance, not commonly used.",,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Tantalum,Metal Catalyst,70,80,"Moderate performance, but less selective.",,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Niobium,Metal Catalyst,65,75,"Lower yield, but useful in specific conditions.",,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Aluminum Oxide,Metal Oxide Catalyst,60,70,"Moderate performance, but less selective.",,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Silicon Dioxide,Metal Oxide Catalyst,50,60,"Low performance, not recommended for this reaction.",,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Magnesium Oxide,Metal Oxide Catalyst,55,65,"Moderate performance, but less selective.",,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Calcium Oxide,Metal Oxide Catalyst,50,60,"Low performance, not recommended for this reaction.",,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Sodium Oxide,Metal Oxide Catalyst,40,50,Ineffective for this reaction.,,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Potassium Oxide,Metal Oxide Catalyst,40,50,Ineffective for this reaction.,,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Lithium Oxide,Metal Oxide Catalyst,45,55,"Low performance, not recommended for this reaction.",,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Titanium Dioxide,Metal Oxide Catalyst,60,70,"Moderate performance, but less selective.",,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Zirconium Dioxide,Metal Oxide Catalyst,65,75,"Moderate performance, but less selective.",,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Boron Nitride,Ceramic Catalyst,55,65,"Low performance, but stable under harsh conditions.",,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Silicon Carbide,Ceramic Catalyst,50,60,"Low performance, not recommended for this reaction.",,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Graphene,Carbon-Based Catalyst,70,80,Emerging catalyst with potential for high selectivity.,,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Copper Chloride,Halide Catalyst,60,70,"Moderate performance, but less selective.",,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Lithium Chloride,Halide Catalyst,50,60,"Low performance, not recommended for this reaction.",,,,,,,
Butane,Nitrogen,Butane,100,200,1,1.5,Sodium Chloride,Halide Catalyst,40,50,Ineffective for this reaction.,,,,,,,
Butane,Nitrous Oxide,Butane oxide,250,400,1,2,Ruthenium,Noble Metal,92,95,"Highly effective, excellent yield and selectivity, but expensive.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,250,400,1,2,Platinum,Noble Metal,95,98,"Highly effective, excellent yield and selectivity, but very expensive.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,260,410,1,2,Palladium,Noble Metal,93,96,"Highly effective, excellent yield and selectivity, but expensive.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,270,420,1,2,Silver,Noble Metal,90,94,"High performance, but expensive.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,280,430,1,2,Gold,Noble Metal,89,93,"High performance, but very expensive.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,290,440,1,2,Nickel,Transition Metal,88,92,"Good performance, used in specific conditions.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,300,450,1,2,Copper,Transition Metal,85,90,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,310,460,1,2,Cobalt,Transition Metal,84,89,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,320,470,1,2,Iron,Transition Metal,82,87,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,330,480,1,2,Chromium,Transition Metal,80,85,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,340,490,1,2,Molybdenum,Transition Metal,86,91,"Good performance, used in specific conditions.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,350,500,1,2,Vanadium,Transition Metal,83,88,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,360,510,1,2,Tungsten,Transition Metal,84,89,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,370,520,1,2,Titanium,Transition Metal,81,86,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,380,530,1,2,Zirconium,Transition Metal,82,87,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,390,540,1,2,Lanthanum,Rare Earth Metal,79,84,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,400,550,1,2,Cerium,Rare Earth Metal,80,85,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,410,560,1,2,Osmium,Noble Metal,91,94,"Highly effective, excellent yield and selectivity, but very expensive.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,420,570,1,2,Rhodium,Noble Metal,94,97,"Highly effective, excellent yield and selectivity, but very expensive.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,430,580,1,2,Iridium,Noble Metal,93,96,"Highly effective, excellent yield and selectivity, but very expensive.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,440,590,1,2,Gallium,Metal,77,83,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,450,600,1,2,Indium,Metal,76,82,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,460,610,1,2,Thallium,Metal,74,80,"Moderate performance, but toxic and less commonly used.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,470,620,1,2,Hafnium,Transition Metal,83,88,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,480,630,1,2,Niobium,Transition Metal,82,87,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,490,640,1,2,Yttrium,Rare Earth Metal,80,85,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,500,650,1,2,Scandium,Transition Metal,78,84,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,510,660,1,2,Bismuth,Metal,75,81,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,520,670,1,2,Lead,Metal,73,79,"Moderate performance, but toxic and less commonly used.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,530,680,1,2,Aluminum Oxide,Solid Acid,75,82,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,540,690,1,2,Zinc Oxide,Transition Metal Oxide,81,86,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,260,410,1.5,2.5,Chromium Oxide,Transition Metal Oxide,80,85,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,270,420,1,3,Cobalt Oxide,Transition Metal Oxide,84,89,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,280,430,1.5,2,Titanium Dioxide,Transition Metal Oxide,83,88,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,290,440,1,2.5,Zirconium Oxide,Transition Metal Oxide,82,87,"Moderate performance, used in specific conditions.",,,,,,,
Butane,Nitrous Oxide,Butane oxide,300,450,1.5,3,Iron Oxide,Transition Metal Oxide,81,86,"Moderate performance, used in specific conditions.",,,,,,,
